name	party	state	SGID	thomas_id	bioguide_id	congress	number_of_bills
Tonko, Paul	Democrat	NY	1657	1942.0	T000469	115	11
Schrader, Kurt	Democrat	OR	1665	1950.0	S001180	115	14
Thompson, Glenn	Republican	PA	1667	1952.0	T000467	115	14
Roe, David P.	Republican	TN	1669	1954.0	R000582	115	30
Olson, Pete	Republican	TX	1670	1955.0	O000168	115	12
Chaffetz, Jason	Republican	UT	1671	1956.0	C001076	115	16
Connolly, Gerald E.	Democrat	VA	1675	1959.0	C001078	115	27
Sablan, Gregorio Kilili Camacho	Democrat	MP	1677	1962.0	S001177	115	3
Quigley, Mike	Democrat	IL	1678	1967.0	Q000023	115	20
Chu, Judy	Democrat	CA	1680	1970.0	C001080	115	24
Garamendi, John	Democrat	CA	1681	1973.0	G000559	115	10
Deutch, Theodore E.	Democrat	FL	1683	1976.0	D000610	115	19
Graves, Tom	Republican	GA	1686	1979.0	G000560	115	3
Reed, Tom	Republican	NY	1688	1982.0	R000585	115	29
Roby, Martha	Republican	AL	1689	1986.0	R000591	115	5
Brooks, Mo	Republican	AL	1690	1987.0	B001274	115	10
Sewell, Terri A.	Democrat	AL	1691	1988.0	S001185	115	8
"Crawford, Eric A. ""Rick"""	Republican	AR	1692	1989.0	C001087	115	11
Womack, Steve	Republican	AR	1694	1991.0	W000809	115	6
Gosar, Paul A.	Republican	AZ	1695	1992.0	G000565	115	23
Schweikert, David	Republican	AZ	1697	1994.0	S001183	115	9
Denham, Jeff	Republican	CA	1698	1995.0	D000612	115	11
Bass, Karen	Democrat	CA	1699	1996.0	B001270	115	26
Tipton, Scott  R.	Republican	CO	1700	1997.0	T000470	115	22
Webster, Daniel	Republican	FL	1705	2002.0	W000806	115	4
Ross, Dennis A.	Republican	FL	1706	2003.0	R000593	115	15
Wilson, Frederica S.	Democrat	FL	1707	2004.0	W000808	115	11
Woodall, Rob	Republican	GA	1711	2008.0	W000810	115	2
Scott, Austin	Republican	GA	1712	2009.0	S001189	115	6
Labrador, Raul R.	Republican	ID	1714	2011.0	L000573	115	8
Kinzinger, Adam	Republican	IL	1717	2014.0	K000378	115	21
Hultgren, Randy	Republican	IL	1718	2015.0	H001059	115	20
Rokita, Todd	Republican	IN	1720	2017.0	R000592	115	18
Bucshon, Larry	Republican	IN	1721	2018.0	B001275	115	12
Yoder, Kevin	Republican	KS	1724	2021.0	Y000063	115	4
Richmond, Cedric L.	Democrat	LA	1726	2023.0	R000588	115	11
Keating, William R.	Democrat	MA	1728	2025.0	K000375	115	15
Harris, Andy	Republican	MD	1729	2026.0	H001052	115	5
Huizenga, Bill	Republican	MI	1731	2028.0	H001058	115	8
Amash, Justin	Independent	MI	1732	2029.0	A000367	115	8
Hartzler, Vicky	Republican	MO	1735	2032.0	H001053	115	13
Long, Billy	Republican	MO	1736	2033.0	L000576	115	7
Palazzo, Steven M.	Republican	MS	1738	2035.0	P000601	115	9
Johnson, Bill	Republican	OH	1749	2046.0	J000292	115	12
Stivers, Steve	Republican	OH	1750	2047.0	S001187	115	20
Renacci, James B.	Republican	OH	1751	2048.0	R000586	115	20
Gibbs, Bob	Republican	OH	1752	2049.0	G000563	115	10
Kelly, Mike	Republican	PA	1754	2051.0	K000376	115	29
Meehan, Patrick	Republican	PA	1755	2052.0	M001181	115	15
Marino, Tom	Republican	PA	1756	2053.0	M001179	115	22
Barletta, Lou	Republican	PA	1757	2054.0	B001269	115	20
Cicilline, David N.	Democrat	RI	1758	2055.0	C001084	115	50
Duncan, Jeff	Republican	SC	1760	2057.0	D000615	115	9
Gowdy, Trey	Republican	SC	1761	2058.0	G000566	115	2
Noem, Kristi L.	Republican	SD	1763	2060.0	N000184	115	21
"Fleischmann, Charles J. ""Chuck"""	Republican	TN	1764	2061.0	F000459	115	2
DesJarlais, Scott	Republican	TN	1765	2062.0	D000616	115	6
Black, Diane	Republican	TN	1766	2063.0	B001273	115	25
Flores, Bill	Republican	TX	1768	2065.0	F000461	115	10
Farenthold, Blake	Republican	TX	1770	2067.0	F000460	115	9
Griffith, H. Morgan	Republican	VA	1773	2070.0	G000568	115	24
Herrera Beutler, Jaime	Republican	WA	1774	2071.0	H001056	115	8
Duffy, Sean P.	Republican	WI	1775	2072.0	D000614	115	22
McKinley, David B.	Republican	WV	1777	2074.0	M001180	115	38
Amodei, Mark E.	Republican	NV	1780	2090.0	A000369	115	7
Bonamici, Suzanne	Democrat	OR	1782	2092.0	B001278	115	20
Massie, Thomas	Republican	KY	1784	2094.0	M001184	115	8
DelBene, Suzan K.	Democrat	WA	1786	2096.0	D000617	115	24
Payne, Donald M., Jr.	Democrat	NJ	1787	2097.0	P000604	115	15
Sinema, Kyrsten	Democrat	AZ	1789	2099.0	S001191	115	15
LaMalfa, Doug	Republican	CA	1790	2100.0	L000578	115	15
Huffman, Jared	Democrat	CA	1791	2101.0	H001068	115	31
Bera, Ami	Democrat	CA	1792	2102.0	B001287	115	7
Cook, Paul	Republican	CA	1793	2103.0	C001094	115	14
Swalwell, Eric	Democrat	CA	1794	2104.0	S001193	115	15
Valadao, David G.	Republican	CA	1795	2105.0	V000129	115	5
Brownley, Julia	Democrat	CA	1796	2106.0	B001285	115	24
Cardenas, Tony	Democrat	CA	1797	2107.0	C001097	115	28
Ruiz, Raul	Democrat	CA	1799	2109.0	R000599	115	25
Takano, Mark	Democrat	CA	1800	2110.0	T000472	115	24
