bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hr6936-115	hr	115	2018-09-27	6936	1792
hr6051-115	hr	115	2018-06-08	6051	1614
hr2186-115	hr	115	2017-04-27	2186	1690
hr3781-115	hr	115	2017-09-14	3781	1890
hr6834-115	hr	115	2018-09-17	6834	1474
hr2505-115	hr	115	2017-05-17	2505	1688
hr1310-115	hr	115	2017-03-02	1310	1989
hr2035-115	hr	115	2017-04-06	2035	1856
hr3148-115	hr	115	2017-06-29	3148	871
hr669-115	hr	115	2017-01-24	669	1954
hr1050-115	hr	115	2017-02-14	1050	1442
hr4266-115	hr	115	2017-11-07	4266	1975
hr5828-115	hr	115	2018-05-15	5828	1777
hr6589-115	hr	115	2018-07-26	6589	1898
hr2850-115	hr	115	2017-06-08	2850	617
hr6172-115	hr	115	2018-06-21	6172	1886
hr4737-115	hr	115	2018-01-08	4737	1516
hr5164-115	hr	115	2018-03-05	5164	1860
hr6793-115	hr	115	2018-09-13	6793	1721
hr96-115	hr	115	2017-01-03	96	1796
hr5308-115	hr	115	2018-03-15	5308	1319
hr1775-115	hr	115	2017-03-29	1775	282
hr6011-115	hr	115	2018-06-05	6011	2001
hr1036-115	hr	115	2017-02-14	1036	1849
hr7333-115	hr	115	2018-12-19	7333	593
hr4961-115	hr	115	2018-02-07	4961	1880
hr4242-115	hr	115	2017-11-03	4242	1669
hr3734-115	hr	115	2017-09-11	3734	1409
hr982-115	hr	115	2017-02-07	982	1492
hr2819-115	hr	115	2017-06-07	2819	1076
hr3114-115	hr	115	2017-06-29	3114	1732
hr6759-115	hr	115	2018-09-10	6759	1459
hr2806-115	hr	115	2017-06-07	2806	1879
hr5056-115	hr	115	2018-02-15	5056	1960
hr4669-115	hr	115	2017-12-18	4669	1605
hr2612-115	hr	115	2017-05-23	2612	693
hr2009-115	hr	115	2017-04-06	2009	1897
hr3371-115	hr	115	2017-07-24	3371	1790
hr2094-115	hr	115	2017-04-14	2094	1922
hr5790-115	hr	115	2018-05-15	5790	1763
hr457-115	hr	115	2017-01-11	457	1655
hr6321-115	hr	115	2018-07-10	6321	1550
hr535-115	hr	115	2017-01-13	535	187
hr1010-115	hr	115	2017-02-13	1010	1757
hr2560-115	hr	115	2017-05-19	2560	1914
hr201-115	hr	115	2017-01-03	201	1191
hr7212-115	hr	115	2018-12-03	7212	1904
hr4504-115	hr	115	2017-11-30	4504	1678
hr3813-115	hr	115	2017-09-21	3813	1804
hr1889-115	hr	115	2017-04-04	1889	1791
hr2705-115	hr	115	2017-05-25	2705	1955
hr3006-115	hr	115	2017-06-22	3006	1757
hr91-115	hr	115	2017-01-03	91	1796
hr3032-115	hr	115	2017-06-23	3032	1939
hr5662-115	hr	115	2018-04-27	5662	871
hr3425-115	hr	115	2017-07-26	3425	1806
hr4979-115	hr	115	2018-02-08	4979	1549
hr3720-115	hr	115	2017-09-08	3720	1442
hr3684-115	hr	115	2017-09-06	3684	1880
hr2008-115	hr	115	2017-04-06	2008	1895
hr4215-115	hr	115	2017-11-01	4215	1646
hr6106-115	hr	115	2018-06-14	6106	1489
hr579-115	hr	115	2017-01-13	579	1579
hr4569-115	hr	115	2017-12-06	4569	1915
hr541-115	hr	115	2017-01-13	541	1838
hr52-115	hr	115	2017-01-03	52	1473
hr1326-115	hr	115	2017-03-02	1326	1665
hr1183-115	hr	115	2017-02-16	1183	1799
hr5714-115	hr	115	2018-05-09	5714	1766
hr2294-115	hr	115	2017-05-02	2294	640
hr3566-115	hr	115	2017-07-28	3566	1817
hr4207-115	hr	115	2017-11-01	4207	1879
hr435-115	hr	115	2017-01-11	435	1584
hr6887-115	hr	115	2018-09-25	6887	1944
hr5922-115	hr	115	2018-05-22	5922	1990
hr4099-115	hr	115	2017-10-24	4099	1628
hr4810-115	hr	115	2018-01-17	4810	1749
hr626-115	hr	115	2017-01-24	626	1667
hr5218-115	hr	115	2018-03-08	5218	1605
hr1495-115	hr	115	2017-03-10	1495	1956
hr1677-115	hr	115	2017-03-22	1677	347
